StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q93,Q95,Q97,Q99,Q101,Q103,Q105,Q107,Q109,Q111,Q113,Q115,Q117,Q119,Q121,Q123,Q125,Q127,Q129,Q131,Basketball Time_First Click,Basketball Time_Last Click,Basketball Time_Page Submit,Basketball Time_Click Count,Sister P1 Time_First Click,Sister P1 Time_Last Click,Sister P1 Time_Page Submit,Sister P1 Time_Click Count,Sex Pref,Basketball T1 Belief_1,Basketball  T1Action_1,Basketball T1Emotion,AC1:BB,AC1:BB_DO,AC2:BB,AC2:BB_DO,AC3:BB,AC3:BB_DO,AC4:BB,AC4:BB_DO,AC5:BB,AC5:BB_DO,Basketball T2 Belief_1,Basketball T2Action_1,Basketball T2Emotion,Basketball T3 Action_1,Basketball T4_1,Sister P2 Time_First Click,Sister P2 Time_Last Click,Sister P2 Time_Page Submit,Sister P2 Time_Click Count,Sister P3 Time_First Click,Sister P3 Time_Last Click,Sister P3 Time_Page Submit,Sister P3 Time_Click Count,Sister T1 Belief_1,Sister T1 Action_1,Sister T1 Emotions,AC1:S,AC2:S,AC2:S_DO,AC3:S,AC3:S_DO,AC4:S,AC4:S_DO,AC5:S,AC5:S_DO,Sister T2 Belief_1,Sister T2 Action_1,Sister T2 Emotions,Sister T3 Action_1,Sister T4 Action_1,Female Rom Time_First Click,Female Rom Time_Last Click,Female Rom Time_Page Submit,Female Rom Time_Click Count,Male Rom Time_First Click,Male Rom Time_Last Click,Male Rom Time_Page Submit,Male Rom Time_Click Count,Partner T1 Belief_1,Partner T1 Action_1,Partner T1 Emotion,AC 1 Partner,AC 1 Partner_DO,AC 2 Partner,AC 3 Partner,AC 3 Partner_DO,AC 4 Partner,AC 4 Partner_DO,AC 5 Partner,Partner T2 Belief_1,Partner T2 Action_1,Partner T2 Emotions,Partner T3 Action_1,Partner T4 Action_1,Age,Sex,Siblings,Sons,Daughters,Rel Status,Ed,Income,MTurk ID,Feedback,SC0,SC1,SC2,SC3,SC4,BotCheckUS,Attention Check Basketball,Attention Check Sister,Attention Check Partner,MTurkCode,FL_129_DO,FL_38_DO,FL_32_DO,FL_241_DO,VowelTest_DO,T1DependentVariables:Basketball_DO,AttentionCheck:Basketball_DO,T2DependentVariables:Basketball_DO,T1DependentVariables:Sister_DO,AttentionCheck:Sister_DO,T2DependentVariables:Sister_DO,T1DependentVariables:Partner_DO,AttentionCheck:Partner_DO,T2DependentVariables:Partner_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Attention Check: Please list the vowels in the word ""salmon"" in the order they occur and with no spaces to show us you are human.","Attention Check: Please list the vowels in the word ""trout"" in the order they occur and with no spaces to show us you are human.","Attention Check: Please list the vowels in the word ""orange"" in the order they occur and with no spaces to show us you are human.","Attention Check: Please list the vowels in the word ""fruit"" in the order they occur and with no spaces to show us you are human.","Attention Check: Please list the vowels in the word ""bear"" in the order they occur and with no spaces to show us you are human.","Attention Check: Please list the vowels in the word ""cockatiel"" in the order they occur and with no spaces to show us you are human.","Attention Check: Please list the vowels in the word ""canine"" in the order they occur and with no spaces to show us you are human.","Attention Check: Please list the vowels in the word ""blue"" in the order they occur and with no spaces to show us you are human.","Attention Check: Please list the vowels in the word ""river"" in the order they occur and with no spaces to show us you are human.","Attention Check: Please list the vowels in the word ""lake"" in the order they occur and with no spaces to show us you are human.","Attention Check: Please list the vowels in the word ""ocean"" in the order they occur and with no spaces to show us you are human.","Attention Check: Please list the vowels in the word ""canoe"" in the order they occur and with no spaces to show us you are human.","Attention Check: Please list the vowels in the word ""teal"" in the order they occur and with no spaces to show us you are human.","Attention Check: Please list the vowels in the word ""rose"" in the order they occur and with no spaces to show us you are human.","Attention Check: Please list the vowels in the word ""break"" in the order they occur and with no spaces to show us you are human.","Attention Check: Please list the vowels in the word ""question"" in the order they occur and with no spaces to show us you are human.","Attention Check: Please list the vowels in the word ""paper"" in the order they occur and with no spaces to show us you are human.","Attention Check: Please list the vowels in the word ""pine"" in the order they occur and with no spaces to show us you are human.","Attention Check: Please list the vowels in the word ""plane"" in the order they occur and with no spaces to show us you are human.","Attention Check: Please list the vowels in the word ""ripe"" in the order they occur and with no spaces to show us you are human.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What sex are you primarily attracted to?,How much do you believe the star player is telling the truth about the coach? - 1,How likely are you to recommend that the president of the university should suspend the coach? - 1,How do you think the star player feels? Click all that apply.,"Attention Check: In the story, who made the accusation of sexual assault?","Attention Check: In the story, who made the accusation of sexual assault? - Display Order","Attention Check: In the story, the star player is described as?","Attention Check: In the story, the star player is described as? - Display Order","Attention Check: In the story, did any other players made similar claims against the coach?","Attention Check: In the story, did any other players made similar claims against the coach? - Display Order","Attention Check: In the story, what did the star player accuse the coach of?","Attention Check: In the story, what did the star player accuse the coach of? - Display Order","Attention Check: In the story, your college's basketball team has become __________ since you hired the coach?","Attention Check: In the story, your college's basketball team has become __________ since you hired the coach? - Display Order",How much do you believe the star player is telling the truth about the coach? - 1,How likely are you to recommend that the president of the university should suspend the coach? - 1,How do you think the star player feels? Click all that apply.,"Now that you have seen the video evidence, how likely are you to recommend that the president of the university should suspend the coach? - 1","Now
 that you have seen the video evidence, how likely are you to recommend 
that the president of the university should suspend the coach? - 1",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How much do you believe your daughter is telling the truth about your brother-in-law? - 1,How likely are you to kick your brother-in-law out? - 1,How do you think your daughter feels? Click all that apply.,"Attention Check: In the story, your sister and brother-in-law helped you in the past.","Attention Check: In the story, what did your daughter accuse your brother-in-law of?","Attention Check: In the story, what did your daughter accuse your brother-in-law of? - Display Order","Attention Check: In the story, why is your brother-in-law and his daughter living with you?","Attention Check: In the story, why is your brother-in-law and his daughter living with you? - Display Order","Attention Check: In the story, who do you call on the phone?","Attention Check: In the story, who do you call on the phone? - Display Order","Attention Check: In the story, your niece is described as making your daughter feel _______ ?","Attention Check: In the story, your niece is described as making your daughter feel _______ ? - Display Order",How much do you believe your daughter is telling the truth about your brother-in-law? - 1,How likely are you to kick your brother-in-law out? - 1,How do you think your daughter feels? Click all that apply.,"Now that you have seen the video evidence, how likely are you to kick your brother-in-law out? - 1","Now that you have seen the video evidence, how likely are you to kick your brother-in-law out? - 1",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How much do you believe your daughter is telling the truth about your partner? - 1,How likely are you to kick your partner out? - 1,How do you think your daughter feels? Click all that apply.,"Attention Check: In the story, what did your daughter accuse your partner of?","Attention Check: In the story, what did your daughter accuse your partner of? - Display Order","Attention Check: In the story, your daughter wants you to get back with her other parent.","Attention Check: In the story, who moves in with you?","Attention Check: In the story, who moves in with you? - Display Order","Attention Check: In the story, your daughter is described as being ___________ around your partner?","Attention Check: In the story, your daughter is described as being ___________ around your partner? - Display Order","Attention Check: In the story, you found bruises and your daughter.",How much do you believe your daughter is telling the truth about your partner? - 1,How likely are you to kick your partner out? - 1,How do you think your daughter feels? Click all that apply.,"Now that you have seen the video evidence, how likely are you to kick your partner out? - 1","Now that you have seen the video evidence, how likely are you to kick your partner out? - 1",What is your age in years?,What is your sex?,How many siblings do you have?,How many sons do you have?,How many daughters do you have?,What is your current relationship status?,What is the highest level of education you have completed?,About how much income does your household make a year in US dollars?,Please enter your MTurk Worker ID.,"If you have any feedback about this study, please let us know by entering it here.",Score,BotCheckUS,Attention Check Basketball,Attention Check Sister,Attention Check Partner,BotCheckUS,Attention Check Basketball,Attention Check Sister,Attention Check Partner,MTurkCode,FL_129 - Block Randomizer - Display Order,FL_38 - Block Randomizer - Display Order,FL_32 - Block Randomizer - Display Order,FL_241 - Block Randomizer - Display Order,Vowel Test - Display Order,T1 Dependent Variables: Basketball - Display Order,Attention Check: Basketball - Display Order,T2 Dependent Variables: Basketball - Display Order,T1 Dependent Variables: Sister - Display Order,Attention Check: Sister - Display Order,T2 Dependent Variables: Sister - Display Order,T1 Dependent Variables: Partner - Display Order,Attention Check: Partner - Display Order,T2 Dependent Variables: Partner - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID520_TEXT""}","{""ImportId"":""QID521_TEXT""}","{""ImportId"":""QID522_TEXT""}","{""ImportId"":""QID523_TEXT""}","{""ImportId"":""QID524_TEXT""}","{""ImportId"":""QID525_TEXT""}","{""ImportId"":""QID526_TEXT""}","{""ImportId"":""QID527_TEXT""}","{""ImportId"":""QID528_TEXT""}","{""ImportId"":""QID529_TEXT""}","{""ImportId"":""QID530_TEXT""}","{""ImportId"":""QID531_TEXT""}","{""ImportId"":""QID532_TEXT""}","{""ImportId"":""QID533_TEXT""}","{""ImportId"":""QID534_TEXT""}","{""ImportId"":""QID535_TEXT""}","{""ImportId"":""QID536_TEXT""}","{""ImportId"":""QID537_TEXT""}","{""ImportId"":""QID538_TEXT""}","{""ImportId"":""QID539_TEXT""}","{""ImportId"":""QID547_FIRST_CLICK""}","{""ImportId"":""QID547_LAST_CLICK""}","{""ImportId"":""QID547_PAGE_SUBMIT""}","{""ImportId"":""QID547_CLICK_COUNT""}","{""ImportId"":""QID550_FIRST_CLICK""}","{""ImportId"":""QID550_LAST_CLICK""}","{""ImportId"":""QID550_PAGE_SUBMIT""}","{""ImportId"":""QID550_CLICK_COUNT""}","{""ImportId"":""QID452""}","{""ImportId"":""QID448_1""}","{""ImportId"":""QID275_1""}","{""ImportId"":""QID462""}","{""ImportId"":""QID369""}","{""ImportId"":""QID369_DO""}","{""ImportId"":""QID370""}","{""ImportId"":""QID370_DO""}","{""ImportId"":""QID371""}","{""ImportId"":""QID371_DO""}","{""ImportId"":""QID372""}","{""ImportId"":""QID372_DO""}","{""ImportId"":""QID373""}","{""ImportId"":""QID373_DO""}","{""ImportId"":""QID465_1""}","{""ImportId"":""QID466_1""}","{""ImportId"":""QID468""}","{""ImportId"":""QID515_1""}","{""ImportId"":""QID578_1""}","{""ImportId"":""QID551_FIRST_CLICK""}","{""ImportId"":""QID551_LAST_CLICK""}","{""ImportId"":""QID551_PAGE_SUBMIT""}","{""ImportId"":""QID551_CLICK_COUNT""}","{""ImportId"":""QID552_FIRST_CLICK""}","{""ImportId"":""QID552_LAST_CLICK""}","{""ImportId"":""QID552_PAGE_SUBMIT""}","{""ImportId"":""QID552_CLICK_COUNT""}","{""ImportId"":""QID470_1""}","{""ImportId"":""QID471_1""}","{""ImportId"":""QID473""}","{""ImportId"":""QID18""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_DO""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_DO""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_DO""}","{""ImportId"":""QID21""}","{""ImportId"":""QID21_DO""}","{""ImportId"":""QID475_1""}","{""ImportId"":""QID476_1""}","{""ImportId"":""QID478""}","{""ImportId"":""QID513_1""}","{""ImportId"":""QID582_1""}","{""ImportId"":""QID548_FIRST_CLICK""}","{""ImportId"":""QID548_LAST_CLICK""}","{""ImportId"":""QID548_PAGE_SUBMIT""}","{""ImportId"":""QID548_CLICK_COUNT""}","{""ImportId"":""QID549_FIRST_CLICK""}","{""ImportId"":""QID549_LAST_CLICK""}","{""ImportId"":""QID549_PAGE_SUBMIT""}","{""ImportId"":""QID549_CLICK_COUNT""}","{""ImportId"":""QID480_1""}","{""ImportId"":""QID481_1""}","{""ImportId"":""QID483""}","{""ImportId"":""QID553""}","{""ImportId"":""QID553_DO""}","{""ImportId"":""QID554""}","{""ImportId"":""QID555""}","{""ImportId"":""QID555_DO""}","{""ImportId"":""QID556""}","{""ImportId"":""QID556_DO""}","{""ImportId"":""QID557""}","{""ImportId"":""QID485_1""}","{""ImportId"":""QID486_1""}","{""ImportId"":""QID488""}","{""ImportId"":""QID508_1""}","{""ImportId"":""QID580_1""}","{""ImportId"":""QID563""}","{""ImportId"":""QID564""}","{""ImportId"":""QID566""}","{""ImportId"":""QID573""}","{""ImportId"":""QID567""}","{""ImportId"":""QID568""}","{""ImportId"":""QID569""}","{""ImportId"":""QID570_TEXT""}","{""ImportId"":""QID571_TEXT""}","{""ImportId"":""QID128_TEXT""}","{""ImportId"":""SC_5u2vzKWcQkvq6sR""}","{""ImportId"":""SC_4INRIUe4WR1Td2d""}","{""ImportId"":""SC_d06Z1XjDHInuAlf""}","{""ImportId"":""SC_2u9ksBxDhZ0J1pH""}","{""ImportId"":""SC_b7AkhiIH5LdqiQR""}","{""ImportId"":""BotCheckUS""}","{""ImportId"":""Attention Check Basketball""}","{""ImportId"":""Attention Check Sister""}","{""ImportId"":""Attention Check Partner""}","{""ImportId"":""MTurkCode""}","{""ImportId"":""FL_129_DO""}","{""ImportId"":""FL_38_DO""}","{""ImportId"":""FL_32_DO""}","{""ImportId"":""FL_241_DO""}","{""ImportId"":""BL_cuyIvGghlgKi0g5_DO""}","{""ImportId"":""BL_1BIRCOMns2F69gh_DO""}","{""ImportId"":""BL_3rbTojGwmVpGNGB_DO""}","{""ImportId"":""BL_0cQhCCXja701Op7_DO""}","{""ImportId"":""BL_0ClhjwoK5YTsCcB_DO""}","{""ImportId"":""BL_3fsyqQcUHyNHAZD_DO""}","{""ImportId"":""BL_0pv7abJkMF8DJJP_DO""}","{""ImportId"":""BL_001BNKiVXUA5sxL_DO""}","{""ImportId"":""BL_73bDjzmGBZNmJGl_DO""}","{""ImportId"":""BL_6FLEP8VVt8wLdLn_DO""}"
2020-12-27 21:11:19,2020-12-27 21:14:33,Survey Preview,,100,194,True,2020-12-27 21:14:34,R_24ksiYJZuIbOjaJ,,,,,46.7313995361328125,-117.17330169677734375,preview,EN,,,,,,,,,,,,,,,,,ae,,,,0,0,22.802,0,,,,,,100,100,"Angry,Mentally ill,Distressed",The star player on your college's basketball team,The president of the college|The star player on your college's basketball team|Your sister|The coach of your college's basketball team,Hard to deal with,Easy going|Hard to deal with|Shy|Unselfish,,,,,Very succesful,Much smaller|Much larger|Very unsuccessful|Very succesful,0,0,"Neutral,Devious",100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,Male,3,,,,,,666694230,butts,0,1,3,0,0,1,3,,,40494119,BasketballVignette,VerbalRequest:Basketball,,,Q125,Basketball T1 DV|Basketball T1 Belief|Basketball  T1Action|Basketball T1Emotion,AC2:BB|AC1:BB|AC5:BB,Basketball T2 DV|Basketball T2Action|Basketball T2 Belief|Basketball T2Emotion,,,,,,
2020-12-27 21:14:40,2020-12-27 21:17:24,Survey Preview,,100,163,True,2020-12-27 21:17:25,R_3EzlJlyqBRFTv0d,,,,,46.7313995361328125,-117.17330169677734375,preview,EN,,,,,,,,,ie,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,48.984,0,100,100,"Angry,Sad,Distressed,Jealous",,,,Your romantic partner,Your old roomate|Your romantic partner|Your brother|Your ex,Extremely rude and avoidant,Pleasant|Kind and courteous|Shy|Extremely rude and avoidant,False,100,100,"Angry,Suicidal,Depressed,Devious,Traumatized",100,0,,,,,,,,,,bears suck 69420,0,1,0,0,3,1,,,3,88851470,IntroSex,,,CryingwithBehaviorChange:Partner,Q109,,,,,,,Partner T1 DV|Partner T1 Action|Partner T1 Belief|Partner T1 Emotion,AC 5 Partner|AC 4 Partner|AC 3 Partner,Partner T2 DV|Partner T2 Action|Partner T2 Belief|Partner T2 Emotions
2020-12-28 11:51:51,2020-12-28 11:52:15,Survey Preview,,100,24,True,2020-12-28 11:52:16,R_29tWVM9eR3HQ0Oe,,,,,46.7313995361328125,-117.17330169677734375,preview,EN,,ou,,,,,,,,,,,,,,,,,,,,,,,1.321,4.456,5.05,14,,,,,,,,,,,,,,,,,,,,1.223,3.869,4.979,15,0.517,3.353,4.366,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,,,,,SisterVignettePage1,,,,Q95,,,,,,,,,
2020-12-28 11:52:27,2020-12-28 11:53:33,Survey Preview,,100,65,True,2020-12-28 11:53:34,R_3PRnKn4jVVyJX28,,,,,46.7313995361328125,-117.17330169677734375,preview,EN,,,,,,,,ue,,,,,,,,,,,,,,,,,1.513,3.054,4.324,7,,,,,,,,,,,,,,,,,,,,0.684,3.653,4.583,11,1.296,5.432,6.352,18,79,74,Devious,,Groping her,Stealing from you|Drinking and driving|Drug use|Groping her,Your brother-in-law lost his house in a fire,Your brother-in-law sold his house and is waiting to buy a new one|Your brother-in-law lost his house in a fire|Your brother-in-law lost his job|Yourbrother-in-law just moved to the area and needed a place to stay,,,Jealous,Happy|Jealous|Scared|Intelligent,79,74,Violated,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,3,0,1,,3,,32200128,SisterVignettePage1,,Crying:Sister,,Q107,,,,Sister T1 DV|Sister T1 Belief|Sister T1 Action|Sister T1 Emotions,AC3:S|AC2:S|AC5:S,Sister T2 DV|Sister T2 Belief|Sister T2 Action|Sister T2 Emotions,,,
2020-12-28 12:20:10,2020-12-28 12:20:28,IP Address,66.56.173.254,100,17,True,2020-12-28 12:20:28,R_1NE6s64rHjVrW0C,,,,,32.1660003662109375,-80.7574005126953125,anonymous,EN,,,,,,,,,,,,,,,,,,,,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,Q131,,,,,,,,,
2020-12-28 12:20:37,2020-12-28 12:20:50,IP Address,66.142.195.201,100,12,True,2020-12-28 12:20:50,R_SE6E1UkmkQhFF29,,,,,34.7837982177734375,-96.6938018798828125,anonymous,EN,,,,,,,,,,,ea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,Q113,,,,,,,,,
2020-12-28 12:20:09,2020-12-28 12:20:55,IP Address,98.25.36.54,100,45,True,2020-12-28 12:20:55,R_3oYLqN3bCrvrGsr,,,,,34.0258941650390625,-80.9546966552734375,anonymous,EN,,,,fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,Q99,,,,,,,,,
2020-12-28 12:20:50,2020-12-28 12:21:14,IP Address,73.252.59.86,100,24,True,2020-12-28 12:21:14,R_2Cdhy7AuJjwbRVO,,,,,32.5279998779296875,-92.1103973388671875,anonymous,EN,,,,,,,,,,,,,,rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,Q119,,,,,,,,,
